Title,Author,Price,More Info,Description,Genre,Publisher,Pages,Reader
1984,Ջորջ Օրուել,5950 դրամ,,1949 թ. հրատարակված Ջորջ Օրուելի «1984» հանրահայտ վեպը նախկին ԽՍՀՄ տարածքում առաջին անգամ լույս տեսավ միայն 1988 թ.։ Տարբեր ժամանակներում տարբեր երկրներում վեպը պարբերաբար արգելվել է՝ երբեմն ծիծաղելի պատճառաբանություններով։ Հայերեն լույս է տեսնում առաջին անգամ։,Արտասահմանյան դասական արձակ,,,
1984 (կոշտ կազմ),Օրուել Ջ.,,,Դորիան Գրեյի դիմանկարը (փափուկ),Արտասահմանյան դասական գրականություն,Էդիթ Պրինտ,312,
1984: читаем в оригинале с комментарием,Оруэлл Джордж,,,,Արտասահմանյան դասական գրականություն,Էդիթ Պրինտ,256,
20.000 տաղանդ Ծոփքի համար,Մալխասյան Ա.,,,Հարյուր տարվա մենություն.Վեպ,Հայ ժամանակակից գրականություն,Անտարես,408,
20000 լյո ջրի տակ (կոշտ),Ժյուլ Վեռն,,,Վերադարձ,Արտասահմանյան դասական գրականություն,Էդիթ Պրինտ,304,
20000 լյո ջրի տակ (փափուկ),Ժյուլ Վեռն,,,Սիդհարթա,Արտասահմանյան դասական գրականություն,Քյուրքչյան,183,
20000 լյո ջրի տակ (փափուկ) վնասված,Ժյուլ Վեռն,,,,Արտասահմանյան դասական գրականություն,Անտարես,248,
21 պատմվածք,"Անի Ասատրյան, Աշոտ Գաբրիելյան, Արա Զարգառյաան, Անրի Գրիգորյան, Արփի Ոսկանյան",1500 դրամ,,Ժողովածուն ընդգրկում է Անտարես հրատարակչության ԱՐՁԱԿ-2013 պատմվածքի մրցույթի եզրափակիչ փուլ անցած 21 պատմվածքը:,Հայ ժամանակակից արձակ,,,
33 ձայն Իսթանպուլէն,Արեան Սագօ,,,,Հայ ժամանակակից գրականություն,Եգեա,134,
40 Poems,Չարենց Ե.,,,"Նժդեհ, Երկերի լիակատար ժողովածու հինգ հատորով",Հայ դասական գրականություն,Հեղինակային հրատարակություն,,
44 օր։ Փաստագրական վեպ,Հռիփսիմէ,,,Թաքնված կարոտ։Բանաստեղծություններ,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակչություն,168,
451 աստիճան ըստ Ֆարենհայթի,"Ռեյ  Բրեդբերի
(2)",,,"«451 աստիճան ըստ Ֆարենհայթի» ամերիկացի գրող Ռեյ Բրեդբերիի ֆանտաստիկ վեպն է՝ գրված 1951 թվականին։ Վեպը պատմում է գրքի ապագայի մասին՝ ամերիկյան հասարակության մեջ, որտեղ գրքերը արգելված էին, և «հրշեջները» այրում էին հայտնաբերված ցանկացած բան։",Ֆանտաստիկա,,,"Գոռ Հարությունյան
(93)"
48 անց,Նարեկ Կոսմոս,,,,Հայ ժամանակակից գրականություն,Թոփ պրինտ,776,
50 Shades Darker,Է․ Լ․ Ջեյմս,7200 դրամ,,"A special edition of E L James's #1 New York Times bestselling novel, Fifty Shades Darker, that includes her own photos and caption commentary from the making of the film. Daunted by the singular tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Ana cannot resist. They rekindle their searing sensual affair, and Ana learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Ana must confront the anger and envy of the women who came before her, and make the most important decision of her life. The second volume in The Fifty Shades of Grey Trilogy. Also available: Fifty Shades of Grey, Fifty Shades Freed Look for E L James's passionate new love story, The Mister, available now.",Հայ ժամանակակից արձակ,,,
50 օր գերության մեջ,Հովսեփ Սահակյան,2500 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939044682-Կոդ-00060037-Տարեթիվ-2023-Լեզու-Հայերեն-Կազմ-Փափուկ-Էջեր-116-Չափեր-140x210-Քաշ-180 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
50 օր գերության մեջ,Հովսեփ Սահակյան,2500 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939044682-Կոդ-00060037-Տարեթիվ-2023-Լեզու-Հայերեն-Կազմ-Փափուկ-Էջեր-116-Չափեր-140x210-Քաշ-180 գրամ-Տարիք-16+,,Դետեկտիվ և թրիլլեր,,,
50 օր գերության մեջ,Սահակյան Հովսեփ,,,,Հայ ժամանակակից գրականություն,Երևան,300,
731 օր քեզ համար,Տաթևիկ Կոստանյան,3000 դրամ,Հրատարակչություն-Տիգրան Մեծ-EAN-9789994108916-Կոդ-00044227-Տարեթիվ-2020-Լեզու-Հայերեն-Կազմ-Փափուկ-Էջեր-120-Չափեր-165x115-Քաշ-110 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
731 օր քեզ համար,Տա Թևեր,,,Տիեզերական սագա,Հայ ժամանակակից գրականություն,Անտարես,44,
8 պատմական դրվագ հայերի մասին,Գոհար Ռշտունի,2500 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939899121-Կոդ-00057964-Տարեթիվ-2023-Լեզու-Հայերեն-Կազմ-Փափուկ-Էջեր-181-Չափեր-140x200-Քաշ-250 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
987,Մարկ Արեն,3500 դրամ,,"Գիրքը Մարկ Արենի (Կարեն Մարգարյան) հայերեն թարգմանված յոթերորդ գիրքն է։ Նրանում հեղինակը պատկերում է Վլադիմիր Իշխանի օրոք Կիևյան Ռուսիայում քրիստոնեության ընդունումը։ Իշխանը, ամուսնանալով բյուզանդական հայազգի կայսրեր Բարսեղ 2-րդ և Կոնստանտին 8-րդի քրոջ՝ Աննայի հետ, քրիստոնեություն է ընդունում։ Վեպի համար հիմք են ծառայել իրական պատմական իրադարձությունները։ Գրքի սյուժեն շատ հետաքրքիր է իր դրամատիկ զարգացումներով և կարդացվում է մեկ շնչով։",Արտասահմանյան ժամանակակից արձակ,,,
987,Մարկ Արեն,,,Ալբերտը՝ հրետանու աստված,Հայ ժամանակակից գրականություն,Մեկնարկ,115,
99 ֆրանկ,Ֆրեդերիկ Բեգբեդեր,4990 դրամ,,"Ֆրեդերիկ Բեգբեդերի '99 ֆրանկ' վեպը հատկանշվում է գովազդային բիզնեսի՝ խելագար ու անհասկանալի այդ աշխարհի սպանիչ ծաղրով, աշխարհ, որտեղ բոլորը արհամարհում են միմյանց, եվ որտեղ անիմաստ կորչում է մարդկային հոգևոր ներուժը: '99 ֆրանկը' նաև սադրիչ վեպ է՝ գրված ժամանակի ոգով եվ բանավիճային տարերքով:",Արտասահմանյան ժամանակակից արձակ,,,
99 ֆրանկ,Բեգբեդեր Ֆ․,,,Փայլատակում,Արտասահմանյան ժամանակակից գրականություն,Զանգակ,480,
A Little Princess,Burnett F. H.,,,Սանտա Կրուս,Արտասահմանյան դասական գրականություն,Հեղինակային հրատարակչություն,96,
A Tale of Hayara: Rise of the Phoenix,Թամար Իսաջանյան,6700 դրամ,,"We are all pawns in the games the gods play' A forsaken prince. A golden era. An infernal fate. The first in a trilogy that tells the tale of a noble family in a reimagined Bronze Age Armenia, 'Rise of the Phoenix' sets the stage for a grand finale!When a prophecy brings a priestess to his humble home, Arme must abandon his tranquil existence to become the nation’s only hope, a celestial warrior tasked with protecting an unborn child carrying an even heavier burden than he.Whispers of invaders threaten the safety of all, testing the bonds of love and the limits of honor, bringing forth the long-forgotten might of the heavens back into the world of mortals. As the flames incinerate all in their path, divided nations and broken families must band together to save the innocent and rise from the ashes of war.",Հայ ժամանակակից արձակ,,,
A Voice in the Night,Անդրե Կամիլերի,4700 դրամ,,"A Voice in the Night is the twentieth compelling crime novel in the phenomenally successful Inspector Montalbano mysteries by Andrea Camilleri. It occurred to him that he might not have had anything to do with Strangio's death. It was a voice in the night, an anonymous voice, that had told him this. A voice in the night that could easily have been the voice of his conscience. Feeling his age, as his birthday rolls round once again, Inspector Montalbano decides to cheer himself up by dealing with a young driver's road rage in his own unique way. But his joy is short-lived, as at police headquarters he receives an angry phone call from a supermarket boss; there's been a robbery at his store and Montalbano's colleague is treating him as a suspect. On arrival at the scene, Montalbano quickly agrees with Inspector Augello that this was no ordinary break-in, but with the supermarket's infamous links to the Mafia creating problems at every turn, this isn't going to be an easy case for the inspector to solve. And to add to Montalbano's burden, the young driver he made an enemy of earlier in the week has returned to police headquarters to report a shocking crime . . .",Հայ ժամանակակից արձակ,,,
A window without a house,Սուսաննա Ռիմա Խառատյան,2000 դրամ,Հրատարակչություն-Զանգակ-EAN-9789939688473-Կոդ-00048859-Տարեթիվ-2021-Լեզու-Անգլերեն-Կազմ-Փափուկ-Էջեր-64-Չափեր-200x115-Քաշ-115 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Cafe Ձանձրույթ,Կարմիր Ռուբենիկ,,,Խլասացություն,Հայ ժամանակակից գրականություն,Արմավ,132,
Café ձանձրույթ,Կարմիր Ռուբենիկ,4700 դրամ,Հրատարակչություն-Գրատուն-EAN-9789939112152-Կոդ-00049030-Տարեթիվ-2021-Լեզու-Հայերեն-Կազմ-Փափուկ-Էջեր-176-Չափեր-200x120-Քաշ-169 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Duello,Arzumanyan H.,,,,Հայ ժամանակակից գրականություն,Մեկնարկ,64,
F սերունդ,Մարիամ Հարությունյան,2000 դրամ,,Հեղինակի բանաստեղծությունների առաջին ժողովածուն։ Երկրորդ հրատարակություն։ Նկարազարդումները՝ Ռիմա Նանյանի։,Պոեզիա,,,
F սերունդ,Հարությունյան Մ.,,,Ավազե ամրոցի աղջիկները (փափուկ կազմ),Հայ ժամանակակից գրականություն,Ծիծեռնակ,,
Finis «Ողբերգություն հեռավոր Հյուսիս-Արևելքում»,"Ջեկ Լոնդոն
(51)",,,"Հյուսիսում թափառող ոսկեխույզը, չունենալով ոչինչ, որոշում է դիմել վերջին հուսահատական և ստոր քայլի՝ սպանության, բայց ձախողում է՝ հանդիպելով ճակատագրի հեգնանքին:",Պատմվածք,,,"Նարեկ Բաղդասարյան
(193)"
Friedensdorf,Գրիգ,4990 դրամ,,"Ի՞նչ է պատերազմը, կա՞ արդյոք խաղաղություն, և ամենակարևորը` ի՞նչ անել հիմա Friedensdorf-ը ինքնակենսագրական, վավերագրական, քաղաքական, միստիկ վեպ է: Զուգահեռ ծավալվող պատումների կենտրոնում պատերազմն է առհասարակ և քառօրյա ու 44-օրյա պատերազմները մասնավորապես: Դրանց հատման կետում պատմողն է՝ պատերազմ չգնացած մարդը, որը, այլ մարդկանց կոշիկների քուղերն օգտագործելով, տեսնում է վերջիններիս երազները Վեպը խաղաղության փնտրտուքի, պատերազմի տեսանելի և չերևացող հետևանքների, մեծ ողբերգության, փոքր ուրախությունների մասին է:",Հայ ժամանակակից արձակ,,,
Frisson. Բանաստեղծություններ,Բարխուդարյան Ա.,,,Ռոդենի Ձմեռը,Հայ ժամանակակից գրականություն,,,
Homo ֆաբեր,Մաքս Ֆրիշ,3990 դրամ,,"Անվանի շվեյցարացի գրող Մաքս Ֆրիշի «Homo Ֆաբեր» (1957) վեպի հերոսը տեխնոկրատ անձնավորություն է, գործնական ու պրագմատիկ, ով հավատում է միայն տրամաբանությանը և հավանականությունների տեսությանը: Սակայն նոր դրամատիկ կենսափորձը աստիճանաբար հասցնում է նրան սեփական կյանքի կործանման. հին հունական միֆը ճակատագրի անխուսափելիության գաղափարով այս վեպում հետաքրքիր շրջադարձ է ստանում: Եզրափակիչ մասում Ֆաբերը նորովի է ընկալում շրջապատող աշխարհը՝ նրա գույների, հնչյունների, զգացմունքների հարստությամբ:",Արտասահմանյան դասական արձակ,,,
Imagine կամ կյանքը ժամանակավոր մեկուսարանում,Մկրտչյան Ս.,,,Անջրպետի մը գրավումը,Հայ ժամանակակից գրականություն,Ակտուալ արվեստ,56,
Karabagh Diary. Poems from the Diaspora. Ղարաբաղյան օրագիր,Ալան Ուայթհորն,2400 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939042053-Կոդ-00057984-Տարեթիվ-2023-Լեզու-Հայերեն-Կազմ-Փափուկ-Էջեր-127-Չափեր-140x200-Քաշ-240 գրամ-Տարիք-16+,,Պոեզիա,,,
Le Clocher qui sans cesse Resonne,,,,Երեք վիպակ,Հայ ժամանակակից գրականություն,ՀԳՄ,,
Naked Body... Dressed soul,Sargsyan Gohar,,,Պետրիկոր․ Արդի պոեզիա,Հայ ժամանակակից գրականություն,Էդիթ Պրինտ,66,
Narrativa Armenia Contempora'nea. Ժամանակակից հայ արձակ,,,,Վերհիշումներ,Հայ ժամանակակից գրականություն,Էդիթ Պրինտ,,
Noil Nocere: Ժպիտով թաքնված արցունքի համը,Եգանյան Արմեն,,,,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակչություն,176,
P/F: Վեպ,Պաչյան Ա.,,,Բանաստեղծություններ (Հակոբյան Ծ.),Հայ ժամանակակից գրականություն,,,
Ravens before Noah,Սուսաննա Հարությունյան,11650 դրամ,,"This novel is set in the Armenian mountains sometime in 1915-1960. An old man and a new born baby boy escape from the Hamidian massacres in Turkey in 1894 and hide themselves in the ruins of a demolished and abandoned village. The village soon becomes a shelter for many others, who flee from problems with the law, their families, or their past lives. The villagers survive in this secret shelter, cut off from the rest of the world, by selling or bartering their agricultural products in the villages beneath the mountain. Years pass by, and the child saved by the old man grows into a young man, Harout. He falls for a beautiful girl who arrived in the village after being tortured by Turkish soldiers. She is pregnant and the old women of the village want to kill the twin baby girls as soon as they are born, to wash away the shame...",Հայ ժամանակակից արձակ,,,
Return to Armenia. Վերադարձ դեպի Հայաստան,Ալան Ուայթհորն,1800 դրամ,,"This bilingual collection of personal and political poems expresses the enduring, painful legacy of the Armenian Genocide. It reveals the survivors' trauma and the separation and fragmentation of life in the Diaspora. The book also takes the reader on an intellectual odyssey to the four points of the compass of the author's ancestral homeland. In the later sections, some of the challenges facing contemporary Armenian society are explored and the quest for identity in a complex and cosmopolitan world posed.",Պոեզիա,,,
Robinson short stories,Pachyan A.,,,Վրիպումներ,Հայ ժամանակակից գրականություն,Գրանիշ,120,
Scribbled gliding/կոշտ,Արզումանյան Վ.,,,Կայարան 2022#2,Հայ ժամանակակից գրականություն,Էդիթ Պրինտ,96,
Scribbled gliding/փափուկ,Արզումանյան Վ.,,,Scribbled gliding/կոշտ,Հայ ժամանակակից գրականություն,Ղիշա,72,
Selected works (Toumanian H.) hardcover,Tumanyan H.,,,,Հայ դասական գրականություն,Անտարես,664,
Selected works (Toumanian H.) paperback,Tumanyan H.,,,,Հայ դասական գրականություն,H. Tumanian museum,312,
SELFHEКРОЛОГ или реквием по несбывшемуся,Вартанян Р.,,,Օվկիանոս (կոշտ կազմ),Հայ ժամանակակից գրականություն,,240,
Semper Idem,"Ջեկ Լոնդոն
(51)",,,"Բժիշկ Բիքնելը շատ հարգված վիրաբույժ է, ով հայտնի է իր համարձակությամբ: Նրա համար կյանքը ոչինչ չի նշանակում, բայց գործն՝ ամեն ինչ: Այսօր առավոտյան նա ուրախ է, քանի որ հետաքրքրաշարժ դեպք է արձանագրվել. հիվանդը, որը հայտնի է միայն Semper Idem անունով, կտրել է իր կոկորդը։ Բժիշկը հրաշքով փրկել է նրան և, բաց թողնելով, խորհուրդ տվել հաջորդ անգամ կոկորդը ետ պահել։ Տղամարդը վերադառնում է նույն օրը: Այս անգամ նա այնքան լավ է կատարած լինում իր աշխատանքը, որ բժիշկ Բիքնելին չի հաջողվում փրկել նրան: Բիքնելը վրդովված չէ. իրականում նա ավելի շատ հպարտ է, որ հիվանդն այդքան լավ աշխատանք է կատարել:",Պատմվածք,,,"Նարեկ Բաղդասարյան
(193)"
The Asylum,ZoriS,,,,Հայ ժամանակակից գրականություն,Երևանյան էսքիզ,92,
The Door Was Open,Կարինե Խոդիկյան,10900 դրամ,,"The short fiction of Karine Khodikyan can be described as intellectual fiction for women. These short stories with a 'mystical touch' tell stories about women - young and old, happy and sad; even when the protagonist is not a woman, the story will immerse you into the life of a woman, revealing her role in anything and everything. This book was published with the support of the Ministry of Culture of the Republic of Armenia under the 'Armenian Literature in Translation' Program. Translated from the Armenian by Nazareth Seferian Proofread by Michael Wharton",Հայ ժամանակակից արձակ,,,
The Longest Letter. The Way to Light,Avetisyan A.,,,,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակություն,158,
The silver platter,Mar.Fa,,,,Հայ ժամանակակից գրականություն,ՎՄՎ-ՊՐԻՆՏ,156,
The wrong train,Melkonian M.,,,Ճիշտ մարդը՝ ճիշտ տեղում,Հայ ժամանակակից գրականություն,Մեկնարկ,336,
Things I didn՛t know before,Zara N Yan,,,,Հայ ժամանակակից գրականություն,Անտարես,396,
Where wild roses are in bloom,Mark Aren,,,Հանդարտություն,Հայ ժամանակակից գրականություն,Մետրո,240,
Zako.Խակ պտուղ,Մանգասարյան Տ․,,,Ռեժիմը խուճապի մեջ է,Հայ ժամանակակից գրականություն,Ակտուալ արվեստ,304,
Абу-Лала Маари,Исаакян А.,,,Ашот Еркат,Հայ դասական գրականություն,Юнистрой,,
Айк Наапет,Демирчян А.,,,,Հայ ժամանակակից գրականություն,Անտարես,252,
Александрапольская трилогия,Արմեն Գասպարյան,24000 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-2002371000007-Կոդ-00058863-Տարեթիվ-2023-Լեզու-Ռուսերեն-Կազմ-Սուպերշապիկ-Չափեր-145x210-Քաշ-2100 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Алиса и любовь,Галян Г.,,,Պուտավոր զգեստով աղջիկը #Փարիզում,Հայ ժամանակակից գրականություն,Կռունկ,112,
Армянское нагорье,Նելլի Սահակյան,900 դրամ,,"В книгу включены эссе о реалиях, тысячелетиями сопровождавших жизнь народа, будь то ландшафтные символы Армянского нагорья, его расти тельные эндемики или народные ремесла. Повествование ведется на широком историко-культурном фоне. В строгом смысле слова — это книга о культуре как манифестации самосознания народа. Этнопсихология, история, этнология и т. д. — все вызывает пристальный интерес автора. Книга дает целостный образ страны. Написан ные поэтично эссе обращены к самому широкому читателю.",Հայ ժամանակակից արձակ,,,
"Армянское счастье, или Пав Ли Кэанк",Аветисян Л.,,,Սա է իմ ընտրությունը,Հայ ժամանակակից գրականություն,Էդիթ Պրինտ,288,
"Армянское счастье, или Павликянк. Том 1",Լիա Ավետիսյան,8400 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939034454-Կոդ-00053267-Տարեթիվ-2020-Լեզու-Ռուսերեն-Կազմ-Փափուկ-Էջեր-388-Չափեր-115x160-Քաշ-263 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Артавазд,Хачатрян Гайк,,,Геворг Марзпетуни,Հայ դասական գրականություն,Юнистрой,,
Ашот Еркат,Айвазян Б.,,,Артавазд,Հայ դասական գրականություն,Юнистрой,,
Баллады (Туманян),Туманян О.,,,,Հայ դասական գրականություն,Էդիթ Պրինտ,232,
Баллады (Туманян) վնասված,Туманян Ованес,,,,Հայ դասական գրականություն,Մագաղաթ,544,
"Берегу, ценю, лелею",Чакмазян Сильва,,,,Հայ ժամանակակից գրականություն,ՀԳՄ,212,
В лабиринтах времени,Похосян В.,,,Երկիր Արքենի,Հայ ժամանակակից գրականություն,Արմավ,162,
"В муках рождения. Торос, сын Левона",Церенц,,,Избранное (Сарьян Г.),Հայ դասական գրականություն,Художественная литература,254,
В ожидании весны,Азнаурян О.,,,Գաղտնիքների տիրակալը,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակություն,604,
Вараздат,Зорьян С.,,,"В муках рождения. Торос, сын Левона",Հայ դասական գրականություն,Юнистрой,,
"Вернакуляр Александрапольского ""Аристократа''",Արմեն Գասպարյան,36000 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939115733-Կոդ-00058864-Տարեթիվ-2023-Լեզու-Ռուսերեն-Կազմ-Սուպերշապիկ-Չափեր-145x210-Քաշ-1530 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Вне времени,Харатян Нерсес,,,,Հայ ժամանակակից գրականություն,Անտարես,356,
Воск,Варданян А.Р.,,,Ծովից ծով դատաստան,Հայ ժամանակակից գրականություն,Արմավ,175,
Геворг Марзпетуни,Мурацан,,,Последний набат Урфы,Հայ դասական գրականություն,Юнистрой,,
Городской сумашедший,Сагабалян Руслан,,,"В сборник включены десять избранных рассказов Нерсеса Харатяна, опубликованные в разные годы. Читаются с напряженным интересом и на одном дыхании.",Հայ ժամանակակից գրականություն,ВМВ-ПРИНТ,168,
Дальше жить,Абгарян Н.,,,Օրագիր. 1943-2001: Հատոր 1,Հայ ժամանակակից գրականություն,,,
"Две рок-звезды, две девочки и Арарат",Тадевосян А.,,,,Հայ ժամանակակից գրականություն,Օրիոն,296,
Дорога в Латвию,Григорян А.,,,Թախծի Անատոմիան,Հայ ժամանակակից գրականություն,Տիր,,
Дороги судьбы армянской. Рштунийская сага,Рштуни Г.,,,#одуванчики принесут тебе письма,Հայ ժամանակակից գրականություն,,,
Дым в горах,Ванане,,,Կյանքը թունելի միջով,Հայ ժամանակակից գրականություն,ՎՄՎ-ՊՐԻՆՏ,96,
Жизнь как наслаждение,Казарян А.,,,Կետադրիր ինքդ։ Սեր,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակություն,120,
Жизнь на старой римской дороге,Тотовенц В.,,,Երկերի լիակատար ժողովածու 6 հատորով հ.5 (Նալբանդյան),Հայ դասական գրականություն,Հայկական ՍՍՀ ԳԱ հրատ․,,
За честь азнавура.в 2-ух книгах․ Смута․ кн. 1,Арман,,,Ձեռքս բաց մի թող․․․,Հայ ժամանակակից գրականություն,Հեղինակային հրատարակություն,160,
Зов пахарей,Даштенц Х.,,,Եղիշե Չարենց,Հայ դասական գրականություն,Մագաղաթ,328,
Избранное (Ов.Туманян) м/о,Туманян О.,,,,Հայ դասական գրականություն,H. Tumanian museum,312,
Избранное (Сарьян Г.),Сарьян Г.,,,Ռանչպարների կանչը,Հայ դասական գրականություն,Էդիթ Պրինտ,536,
Изнанка известности,Хачатур Геворг,,,Երբ առնետները կարդալ գիտեին,Հայ ժամանակակից գրականություն,Ակտուալ արվեստ,96,
Испания,Զարյան Կ․,,,,Հայ դասական գրականություն,,,
Истории Ветра и Воды,Симонян Ю.,,,"Լաց և ծիծաղ (արձակ,չափածո)",Հայ ժամանակակից գրականություն,Հայաստան,224,
Кес Арут,Бриньон Л.,,,Вараздат,Հայ դասական գրականություն,Юнистрой,,
Кот Иисуса,Григ,,,Ֆրանսիական նամականի,Հայ ժամանակակից գրականություն,Գրաբեր,91,
Любовь эмигрантки,Деранц Маргарет,,,"Գրքում ամփոփված են հեղինակի խոհերն ու մտքերը՝ երբեմն արձակ, երբեմն էլ՝ չափածո: Շեշտադրումը ստեղծագործական ազատության վրա է՝ որպես ինքնադրսևորման բանալի: Ընտրված ձևաչափը՝ գիրք-նոթատետրի տարբերակով, միտված է խրախուսել ընթերցողին ևս անկաշկանդ լինել և գրի կամ պատկերի միջոցով ձևակերպում տալ սեփական զգացմունքներին ու մտքերին:",Հայ ժամանակակից գրականություն,Հեղինակային հրատարակչություն,72,
Мгновения,Туманян Алла,,,,Հայ ժամանակակից գրականություն,Ակտուալ արվեստ,388,
Межды каплями дождя,Միխաիլ Սիմոնով,1900 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9785794900064-Կոդ-00057679-Տարեթիվ-2022-Լեզու-Հայերեն-Կազմ-Փափուկ-Էջեր-53-Չափեր-140x200-Քաշ-250 գրամ-Տարիք-16+,,Պոեզիա,,,
Мой сын идет на войну,Ռուբեն Գրիգորյան,2500 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9785446533831-Կոդ-00053404-Տարեթիվ-2021-Լեզու-Ռուսերեն-Կազմ-Կոշտ-Էջեր-128-Չափեր-110x170-Քաշ-220 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Мой сын идет на войну,Григорян Рубен,,,Կ Պոլսոյ Անկումը,Հայ ժամանակակից գրականություն,ԱՐԻ գրականության հիմնադրամ,112,
Монастырский крест. Советская сага,Արմեն Գասպարյան,7900 դրամ,Հրատարակչություն-Հեղինակային հրատարակություն-EAN-9789939034959-Կոդ-00058866-Տարեթիվ-2023-Լեզու-Ռուսերեն-Կազմ-Սուպերշապիկ-Էջեր-380-Չափեր-145x210-Քաշ-830 գրամ-Տարիք-16+,,Հայ ժամանակակից արձակ,,,
Моя Голгофа,Арутюнян Ю.,,,Дороги судьбы армянской. Рштунийская сага,Հայ ժամանակակից գրականություն,,,
Мы остаемся... в словах,Сурова Н.,,,Քեզ վերադարձնող գիրքը,Հայ ժամանակակից գրականություն,Վան Արյան,96,
